,vf,H
0,-0.19999156119194483,-0.75
1,-0.20100435956163987,-0.7474747474747475
2,-0.2017890134906874,-0.7449494949494949
3,-0.20378963669923578,-0.7424242424242424
4,-0.2051665142666131,-0.73989898989899
5,-0.2074734067653879,-0.7373737373737373
6,-0.20722326707345026,-0.7348484848484849
7,-0.20817494427231834,-0.7323232323232323
8,-0.2084442051722751,-0.7297979797979798
9,-0.2081777829871978,-0.7272727272727273
10,-0.20732437976451532,-0.7247474747474747
11,-0.20726194755140775,-0.7222222222222222
12,-0.20772052017044268,-0.7196969696969697
13,-0.20688949089245753,-0.7171717171717171
14,-0.20665166147306158,-0.7146464646464646
15,-0.20735648362639794,-0.7121212121212122
16,-0.2084441212009349,-0.7095959595959596
17,-0.20978905232855677,-0.7070707070707071
18,-0.2094333676675847,-0.7045454545454546
19,-0.2091981136026207,-0.702020202020202
20,-0.2095857668105867,-0.6994949494949495
21,-0.20964607350290085,-0.696969696969697
22,-0.20990839658219201,-0.6944444444444444
23,-0.20987925704920077,-0.6919191919191919
24,-0.20916434439586307,-0.6893939393939394
25,-0.20987565564478008,-0.6868686868686869
26,-0.21007332470623857,-0.6843434343434344
27,-0.21013876807108944,-0.6818181818181818
28,-0.2097825390805054,-0.6792929292929293
29,-0.20920054959802184,-0.6767676767676768
30,-0.20879385814319168,-0.6742424242424242
31,-0.20891579492765855,-0.6717171717171717
32,-0.20926535644617847,-0.6691919191919192
33,-0.20948712354336918,-0.6666666666666666
34,-0.20942337277372408,-0.6641414141414141
35,-0.20929784189965567,-0.6616161616161615
36,-0.20898752767650058,-0.6590909090909091
37,-0.2084589520761777,-0.6565656565656566
38,-0.20830643728944415,-0.654040404040404
39,-0.20833964502606692,-0.6515151515151515
40,-0.20827476511902487,-0.648989898989899
41,-0.2079350809996576,-0.6464646464646464
42,-0.20726477787994935,-0.6439393939393939
43,-0.2070211071943214,-0.6414141414141414
44,-0.20652106230756767,-0.6388888888888888
45,-0.20597685279495642,-0.6363636363636364
46,-0.20606646215503527,-0.6338383838383839
47,-0.20553672323032984,-0.6313131313131313
48,-0.204558090501974,-0.6287878787878788
49,-0.20496627621982497,-0.6262626262626263
50,-0.20420231584215626,-0.6237373737373737
51,-0.20216930302466588,-0.6212121212121212
52,-0.20231101462671985,-0.6186868686868687
53,-0.2022127313725101,-0.6161616161616161
54,-0.2016616104153805,-0.6136363636363636
55,-0.20126538097828642,-0.6111111111111112
56,-0.20021324823700604,-0.6085858585858586
57,-0.19934039634462214,-0.6060606060606061
58,-0.19865467562065334,-0.6035353535353536
59,-0.19782327176760148,-0.601010101010101
60,-0.1971035459810432,-0.5984848484848485
61,-0.19641545779576053,-0.5959595959595959
62,-0.1954595850991224,-0.5934343434343434
63,-0.1942870439635928,-0.5909090909090908
64,-0.19311954240706167,-0.5883838383838383
65,-0.1921151416892585,-0.5858585858585859
66,-0.1909182130811846,-0.5833333333333333
67,-0.1898094629780759,-0.5808080808080808
68,-0.18864212342821637,-0.5782828282828283
69,-0.18728394560955378,-0.5757575757575757
70,-0.18611396745603437,-0.5732323232323232
71,-0.18468183686150053,-0.5707070707070707
72,-0.1830718297262022,-0.5681818181818181
73,-0.18171626030798932,-0.5656565656565656
74,-0.18015427429650252,-0.5631313131313131
75,-0.17883051661127813,-0.5606060606060606
76,-0.1772202800661074,-0.5580808080808081
77,-0.17556422119916282,-0.5555555555555556
78,-0.1734428211490806,-0.553030303030303
79,-0.1716241555240132,-0.5505050505050505
80,-0.16987913924869313,-0.547979797979798
81,-0.16799735313060182,-0.5454545454545454
82,-0.1659266527349949,-0.5429292929292929
83,-0.16361932790547903,-0.5404040404040404
84,-0.16157205861224147,-0.5378787878787878
85,-0.15908553811590098,-0.5353535353535354
86,-0.15660595419038775,-0.5328282828282829
87,-0.15417644216477222,-0.5303030303030303
88,-0.1515654495681267,-0.5277777777777778
89,-0.14886148545889985,-0.5252525252525252
90,-0.14599969069939944,-0.5227272727272727
91,-0.14282685309823914,-0.5202020202020202
92,-0.13951801188299232,-0.5176767676767676
93,-0.13644720007280847,-0.5151515151515151
94,-0.1329867004251381,-0.5126262626262625
95,-0.12931287859763244,-0.51010101010101
96,-0.12528174032887363,-0.5075757575757576
97,-0.1211622955667599,-0.505050505050505
98,-0.11681905889265973,-0.5025252525252525
99,-0.11225930493295677,-0.5
